"month_year","user_id","retweet_user_id","value"
2021-06-30,"267784293","247047815",1
2021-06-30,"52439980","998938602699743235",1
2021-06-30,"703482990","161438782",1
2021-06-30,"52439980","43814969",1
2021-06-30,"52439980","52439980",8
2021-06-30,"267784293","1723102656",1
2021-06-30,"267784293","33324953",1
2021-06-30,"162181568","154184640",1
2021-06-30,"19722366","198883031",2
2021-06-30,"52439980","3092373641",1
2021-06-30,"1242641029737656321","937301562",1
2021-06-30,"162181568","150441535",1
2021-06-30,"703482990","3092373641",1
2021-06-30,"267784293","282201112",1
2021-06-30,"267784293","2883216219",1
2021-06-30,"703482990","50445713",1
2021-06-30,"703482990","144598281",1
2021-06-30,"703482990","259717758",2
2021-06-30,"267784293","154184640",1
2021-06-30,"703482990","267784293",1
2021-06-30,"1242641029737656321","43814969",1
2021-06-30,"267784293","267784293",26
2021-06-30,"162181568","486961348",2
2021-06-30,"307976282","267960594",4
2021-06-30,"35799843","52439980",1
2021-06-30,"35799843","164335332",2
2021-06-30,"182925466","182925466",3
2021-06-30,"35799843","161438782",1
2021-06-30,"35799843","278320295",2
2021-06-30,"705097329687322624","155639783",1
2021-06-30,"2204038493","182925466",2
2021-06-30,"867552119389401088","4869743859",2
2021-06-30,"39276894","267784293",1
2021-06-30,"3443469203","162181568",1
2021-06-30,"287194322","4529320173",2
2021-06-30,"2830998061","2830998061",2
2021-06-30,"201825904","1242641029737656321",1
2021-06-30,"3443469203","2730118150",1
2021-06-30,"3443469203","961274156",1
2021-06-30,"231239794","180536299",1
2021-06-30,"287194322","1069556234",1
2021-06-30,"162465278","879871299904000002",1
2021-06-30,"287194322","301492316",6
2021-06-30,"267960594","519497576",1
2021-06-30,"231239794","961274156",1
2021-06-30,"201825904","352658764",1
2021-06-30,"231239794","1723102656",1
2021-06-30,"3443469203","161438782",3
2021-06-30,"201825904","404247722",2
2021-06-30,"3443469203","1723102656",3
2021-06-30,"3443469203","259717758",1
2021-06-30,"705097329687322624","2387764495",1
2021-06-30,"287194322","253636753",2
2021-06-30,"39276894","703482990",1
2021-06-30,"231239794","1864835456",1
2021-06-30,"231239794","206747178",2
2021-06-30,"287194322","519497576",9
2021-06-30,"39276894","33324953",1
2021-06-30,"231239794","161438782",1
2021-06-30,"3125573339","2415876295",1
2021-06-30,"587699611","2695665061",2
2021-06-30,"33324953","2730118150",2
2021-06-30,"33324953","484627957",1
2021-06-30,"33324953","144598281",1
2021-06-30,"33324953","267784293",4
2021-06-30,"3125573339","43814969",1
2021-06-30,"587699611","2798077200",1
2021-06-30,"3125573339","231239794",1
2021-06-30,"33324953","1150985175582609408",3
2021-06-30,"33324953","50445713",1
2021-06-30,"587699611","1149500866581409792",1
2021-06-30,"587699611","282201112",1
2021-06-30,"587699611","587699611",2
2021-06-30,"33324953","33324953",4
2021-06-30,"587699611","131394303",3
2021-06-30,"587699611","486961348",2
2021-06-30,"301492316","182925466",1
2021-06-30,"220445205","1864835456",2
2021-06-30,"587699611","712343447865311232",1
2021-06-30,"33324953","247047815",2
2021-06-30,"3125573339","150684554",1
2021-06-30,"1864835456","161438782",1
2021-06-30,"1864835456","206747178",1
2021-06-30,"301492316","1548769874",2
2021-06-30,"301492316","301492316",1
2021-06-30,"33324953","2415876295",1
2021-06-30,"1864835456","1864835456",14
2021-06-30,"3125573339","750523611857969152",1
2021-06-30,"587699611","247047815",1
2021-06-30,"587699611","3092373641",2
2021-06-30,"587699611","33324953",4
2021-06-30,"587699611","867022208555732994",3
2021-06-30,"301492316","3290757334",1
2021-06-30,"301492316","90401187",3
2021-06-30,"1864835456","33324953",1
2021-06-30,"301492316","198883031",1
2021-06-30,"3125573339","472996218",1
2021-06-30,"33324953","2883216219",1
2021-06-30,"1864835456","43814969",2
2021-06-30,"587699611","267784293",4
2021-06-30,"33324953","154184640",1
2021-06-30,"347929817","161438782",1
2021-06-30,"301492316","293682722",2
2021-06-30,"1864835456","162181568",1
2021-06-30,"1864835456","1723102656",1
2021-06-30,"1864835456","52439980",4
2021-06-30,"2798077200","180536299",7
2021-06-30,"33324953","161438782",2
2021-06-30,"1550784409","2387764495",1
2021-06-30,"2795307903","38078904",1
2021-06-30,"2456562907","154184640",1
2021-06-30,"2795307903","2795307903",3
2021-06-30,"180392548","161438782",1
2021-06-30,"38078904","38078904",19
2021-06-30,"2456562907","1242641029737656321",1
2021-06-30,"2456562907","352658764",2
2021-06-30,"1550784409","267960594",4
2021-06-30,"2456562907","161438782",5
2021-06-30,"180392548","1723102656",1
2021-06-30,"2795307903","2387764495",1
2021-06-30,"1550784409","182925466",2
2021-06-30,"712343447865311232","1864835456",2
2021-06-30,"79533471","3443469203",2
2021-06-30,"50445713","1150985175582609408",1
2021-06-30,"90401187","519497576",1
2021-06-30,"1351611218","164335332",1
2021-06-30,"1351611218","161438782",1
2021-06-30,"50445713","50445713",6
2021-06-30,"90401187","3290757334",1
2021-06-30,"1351611218","2695665061",1
2021-06-30,"201888748","35799843",1
2021-06-30,"1351611218","52439980",1
2021-06-30,"79533471","961274156",2
2021-06-30,"90401187","267960594",1
2021-06-30,"201888748","40741753",2
2021-06-30,"1351611218","3443469203",1
2021-06-30,"1351611218","750523611857969152",1
2021-06-30,"1351611218","961274156",1
2021-06-30,"79533471","1723102656",16
2021-06-30,"90401187","38078904",1
2021-06-30,"90401187","90401187",2
2021-06-30,"282201112","33324953",1
2021-06-30,"201888748","43814969",2
2021-06-30,"50445713","33324953",1
2021-06-30,"282201112","267784293",1
2021-06-30,"1351611218","40741753",2
2021-06-30,"1351611218","1723102656",3
2021-06-30,"1351611218","199939113",2
2021-06-30,"282201112","144598281",1
2021-06-30,"282201112","206747178",1
2021-06-30,"1351611218","206747178",1
2021-06-30,"282201112","587699611",2
2021-06-30,"1351611218","180392548",2
2021-06-30,"712343447865311232","3092373641",4
2021-06-30,"201888748","267784293",2
2021-06-30,"201888748","52439980",1
2021-06-30,"1351611218","231239794",1
2021-06-30,"247047815","3092373641",2
2021-06-30,"3290757334","198883031",1
2021-06-30,"105976753","150441535",2
2021-06-30,"105976753","961274156",2
2021-06-30,"247047815","267784293",2
2021-06-30,"352658764","180536299",1
2021-06-30,"247047815","206747178",2
2021-06-30,"1222402614","867022208555732994",1
2021-06-30,"352658764","3365136485",2
2021-06-30,"259717758","164335332",2
2021-06-30,"1222402614","161438782",4
2021-06-30,"1222402614","162181568",4
2021-06-30,"1222402614","164335332",2
2021-06-30,"1380077610","117185027",35
2021-06-30,"247047815","867022208555732994",3
2021-06-30,"3290757334","182925466",1
2021-06-30,"879871299904000002","267960594",2
2021-06-30,"259717758","161438782",1
2021-06-30,"1222402614","130535563",6
2021-06-30,"1222402614","1864835456",1
2021-06-30,"879871299904000002","38078904",1
2021-06-30,"1380077610","155639783",2
2021-06-30,"472996218","130535563",1
2021-06-30,"259717758","937301562",1
2021-06-30,"1222402614","380741459",1
2021-06-30,"1222402614","597004473",2
2021-06-30,"105976753","161438782",1
2021-06-30,"247047815","144598281",1
2021-06-30,"247047815","33324953",3
2021-06-30,"1222402614","150441535",4
2021-06-30,"259717758","154184640",3
